word,pos,CEFR,freq,base_score,log_frequency,final_score
ad lib,adjective,C2,0,6000.0,0.0,6000.0
prurience,noun,C2,0,6000.0,0.0,6000.0
unfeasibly,adverb,C2,0,6000.0,0.0,6000.0
amorphously,adverb,C2,0,6000.0,0.0,6000.0
telescopically,adverb,C2,0,6000.0,0.0,6000.0
indiscrete,adjective,C2,0,6000.0,0.0,6000.0
tantalizingly/tantalisingly,adverb,C2,0,6000.0,0.0,6000.0
tantalize/tantalise,verb,C2,0,6000.0,0.0,6000.0
cosset,verb,C2,0,6000.0,0.0,6000.0
dole out,verb,C2,0,6000.0,0.0,6000.0
economize/economise,verb,C2,0,6000.0,0.0,6000.0
abhorrently,adverb,C2,0,6000.0,0.0,6000.0
inchoately,adverb,C2,0,6000.0,0.0,6000.0
patchily,adverb,C2,0,6000.0,0.0,6000.0
unobtrusiveness,noun,C2,0,6000.0,0.0,6000.0
infernally,adverb,C2,0,6000.0,0.0,6000.0
stultify,verb,C2,0,6000.0,0.0,6000.0
flightiness,noun,C2,0,6000.0,0.0,6000.0
plutocrat,noun,C2,0,6000.0,0.0,6000.0
opulently,adverb,C2,0,6000.0,0.0,6000.0
stultifyingly,adverb,C2,0,6000.0,0.0,6000.0
choreographical,adjective,C2,0,6000.0,0.0,6000.0
computerize/computerise,verb,C2,0,6000.0,0.0,6000.0
mold/mould,verb,C2,0,6000.0,0.0,6000.0
maneuver/manoeuvre,verb,C2,0,6000.0,0.0,6000.0
maneuver/manoeuvre,noun,C2,0,6000.0,0.0,6000.0
muscle-bound,adjective,C2,0,6000.0,0.0,6000.0
deficiently,adverb,C2,0,6000.0,0.0,6000.0
stabilize/stabilise,verb,C2,0,6000.0,0.0,6000.0
materialization/materialisation,noun,C2,0,6000.0,0.0,6000.0
materialize/materialise,verb,C2,0,6000.0,0.0,6000.0
centralized/centralised,adjective,C2,0,6000.0,0.0,6000.0
inartistic,adjective,C2,0,6000.0,0.0,6000.0
familiarize/familiarise,verb,C2,0,6000.0,0.0,6000.0
vis-a-vis,preposition,C2,0,6000.0,0.0,6000.0
carbonize/carbonise,verb,C2,0,6000.0,0.0,6000.0
anthropologically,adverb,C2,0,6000.0,0.0,6000.0
blandishment,noun,C2,0,6000.0,0.0,6000.0
fabulation,noun,C2,0,6000.0,0.0,6000.0
fabulate,verb,C2,0,6000.0,0.0,6000.0
utilization/utilisation,noun,C2,0,6000.0,0.0,6000.0
genomically,adverb,C2,0,6000.0,0.0,6000.0
anticlimactically,adverb,C2,0,6000.0,0.0,6000.0
laud ,verb,C2,0,6000.0,0.0,6000.0
evokingly,adverb,C2,0,6000.0,0.0,6000.0
euphorically,adverb,C2,0,6000.0,0.0,6000.0
paralyze/paralyse,verb,C2,0,6000.0,0.0,6000.0
undiminishing,adjective,C2,0,6000.0,0.0,6000.0
paralyzingly/paralysingly,adverb,C2,0,6000.0,0.0,6000.0
mutinously,adverb,C2,0,6000.0,0.0,6000.0
soliloquize,verb,C2,0,6000.0,0.0,6000.0
bereftly,adverb,C2,0,6000.0,0.0,6000.0
drabness,noun,C2,0,6000.0,0.0,6000.0
exaltedly,adverb,C2,0,6000.0,0.0,6000.0
counterproductively,adverb,C2,0,6000.0,0.0,6000.0
venomously,adverb,C2,0,6000.0,0.0,6000.0
deviantly,adverb,C2,0,6000.0,0.0,6000.0
taste-maker,noun,C2,0,6000.0,0.0,6000.0
indolently,adverb,C2,0,6000.0,0.0,6000.0
proprietorial,adjective,C2,0,6000.0,0.0,6000.0
caffeinate,verb,C2,0,6000.0,0.0,6000.0
philanthropically,adverb,C2,0,6000.0,0.0,6000.0
bona fide,adjective,C2,0,6000.0,0.0,6000.0
wordage,noun,C2,0,6000.0,0.0,6000.0
crystallization/crystallisation,noun,C2,0,6000.0,0.0,6000.0
crystallize/crystallise,verb,C2,0,6000.0,0.0,6000.0
side-step,verb,C2,0,6000.0,0.0,6000.0
all-encompassing,adjective,C2,0,6000.0,0.0,6000.0
decentralize/decentralise,verb,C2,0,6000.0,0.0,6000.0
glory in,verb,C2,0,6000.0,0.0,6000.0
ardor/ardour,noun,C2,0,6000.0,0.0,6000.0
tranquilize/tranquilise,verb,C2,0,6000.0,0.0,6000.0
confrontationally,adverb,C2,0,6000.0,0.0,6000.0
patronizing/patronising,adjective,C2,0,6000.0,0.0,6000.0
echolocate,verb,C2,0,6000.0,0.0,6000.0
self-aggrandizement/self-aggrandisement,noun,C2,0,6000.0,0.0,6000.0
patronizingly/patronisingly,adverb,C2,0,6000.0,0.0,6000.0
unexceptionally,adverb,C2,0,6000.0,0.0,6000.0
punitively,adverb,C2,0,6000.0,0.0,6000.0
histrionically,adverb,C2,0,6000.0,0.0,6000.0
eke out,verb,C2,0,6000.0,0.0,6000.0
inexorability,noun,C2,0,6000.0,0.0,6000.0
blubbery,adjective,C2,0,6000.0,0.0,6000.0
armory/armoury,noun,C2,0,6000.0,0.0,6000.0
ingenuously,adverb,C2,0,6000.0,0.0,6000.0
patronize/patronise,verb,C2,0,6000.0,0.0,6000.0
ruminative,adjective,C2,0,6000.0,0.0,6000.0
mull over,verb,C2,0,6000.0,0.0,6000.0
taciturnity,noun,C2,0,6000.0,0.0,6000.0
venture,noun,C2,15188265,6000.0,-8.852905440061306,5991.1470945599385
counsel,noun,C2,14767437,6000.0,-10.803890800663169,5989.196109199337
herald,verb,C2,12020777,6000.0,-25.092512234155038,5974.907487765845
herald,noun,C2,12020777,6000.0,-25.092512234155038,5974.907487765845
adverse,adjective,C2,11157534,6000.0,-30.2668230484565,5969.733176951543
methodology,noun,C2,11090402,6000.0,-30.685849547969667,5969.31415045203
haven,noun,C2,10569212,6000.0,-34.02802708009796,5965.971972919902
deviant,adjective,C2,9917990,6000.0,-38.44366099115359,5961.556339008846
deviant,noun,C2,9917990,6000.0,-38.44366099115359,5961.556339008846
spatial,adjective,C2,9537716,6000.0,-41.158257357246555,5958.841742642753
synthesis,noun,C2,9299369,6000.0,-42.915450429663,5957.084549570337
provincial,adjective,C2,9144703,6000.0,-44.07997467921979,5955.92002532078
accountability,noun,C2,9011124,6000.0,-45.101690927354525,5954.898309072645
scroll,noun,C2,8741548,6000.0,-47.210567641894556,5952.789432358106
annex,noun,C2,8465905,6000.0,-49.43524911749006,5950.5647508825095
annex,verb,C2,8465905,6000.0,-49.43524911749006,5950.5647508825095
dive,noun,C2,8254655,6000.0,-51.18981354318419,5948.810186456816
cognitive,adjective,C2,8211944,6000.0,-51.55000807515313,5948.4499919248465
proprietary,adjective,C2,8104058,6000.0,-52.468251828412065,5947.531748171588
hazard,verb,C2,8001020,6000.0,-53.356717853244675,5946.643282146755
correlation,noun,C2,7923081,6000.0,-54.03639659248614,5945.963603407514
vocational,adjective,C2,7847368,6000.0,-54.70309596226821,5945.296904037732
succeed,verb,C2,7605605,6000.0,-56.87586487759762,5943.124135122403
mere,adjective,C2,7312247,6000.0,-59.60702991643137,5940.392970083569
hull,noun,C2,6744002,6000.0,-65.22401473152428,5934.775985268476
commodity,noun,C2,6684471,6000.0,-65.83964463097192,5934.160355369028
deficit,noun,C2,6564569,6000.0,-67.09640993988938,5932.90359006011
wax,verb,C2,6472822,6000.0,-68.07366665325287,5931.926333346747
merit,noun,C2,6450895,6000.0,-68.30927599470562,5931.690724005294
merit,verb,C2,6450895,6000.0,-68.30927599470562,5931.690724005294
hypothesis,noun,C2,6323872,6000.0,-69.69011804063746,5930.309881959362
proposition,noun,C2,6182044,6000.0,-71.26506308006594,5928.734936919934
utilize,verb,C2,6030953,6000.0,-72.98312500919792,5927.0168749908025
merger,noun,C2,6021111,6000.0,-73.09652743363154,5926.903472566369
equilibrium,noun,C2,5971011,6000.0,-73.6766830833804,5926.32331691662
idle,verb,C2,5921579,6000.0,-74.25389401573199,5925.746105984268
marvel,noun,C2,5803188,6000.0,-75.65615722650716,5924.343842773493
gale,noun,C2,5578617,6000.0,-78.39646416366122,5921.603535836339
rebound,verb,C2,5540042,6000.0,-78.87825171877637,5921.1217482812235
rebound,noun,C2,5540042,6000.0,-78.87825171877637,5921.1217482812235
hypothetical,adjective,C2,5532893,6000.0,-78.96790845358277,5921.032091546417
surge,verb,C2,5436623,6000.0,-80.18665940455043,5919.8133405954495
surge,noun,C2,5436623,6000.0,-80.18665940455043,5919.8133405954495
practitioner,noun,C2,5411869,6000.0,-80.50352645316036,5919.496473546839
phantom,noun,C2,5301147,6000.0,-81.93881078544246,5918.061189214557
corpus,noun,C2,5137372,6000.0,-84.11774778054826,5915.882252219451
resin,noun,C2,4966700,6000.0,-86.46363682079908,5913.536363179201
abundance,noun,C2,4870991,6000.0,-87.81469364436504,5912.185306355635
tactical,adjective,C2,4826876,6000.0,-88.4463972661739,5911.553602733826
transmitter,noun,C2,4739143,6000.0,-89.72003005025704,5910.279969949743
residual,adjective,C2,4729381,6000.0,-89.8632016851767,5910.136798314823
mediation,noun,C2,4618800,6000.0,-91.50596111872568,5908.494038881275
wholly,adverb,C2,4489721,6000.0,-93.47401558960678,5906.525984410393
qualitative,adjective,C2,4233032,6000.0,-97.56171926055492,5902.438280739445
dissemination,noun,C2,4193540,6000.0,-98.21254044893823,5901.787459551062
cosmic,adjective,C2,4191929,6000.0,-98.2392193845854,5901.760780615415
oblique,adjective,C2,4027970,6000.0,-101.00951872137796,5898.990481278622
proportional,adjective,C2,3990019,6000.0,-101.66681522565005,5898.33318477435
paramount,adjective,C2,3954831,6000.0,-102.2818675052066,5897.718132494793
reconciliation,noun,C2,3854902,6000.0,-104.0588345333872,5895.941165466613
autonomous,adjective,C2,3845886,6000.0,-104.22141907291837,5895.778580927082
proliferation,noun,C2,3829964,6000.0,-104.50947185537768,5895.490528144623
proliferation,noun,C2,3829964,6000.0,-104.50947185537768,5895.490528144623
vicinity,noun,C2,3772417,6000.0,-105.56066292787432,5894.439337072125
combustion,noun,C2,3757231,6000.0,-105.84073488214068,5894.159265117859
cascade,verb,C2,3732995,6000.0,-106.29006739990314,5893.709932600097
cascade,noun,C2,3732995,6000.0,-106.29006739990314,5893.709932600097
fabrication,noun,C2,3624802,6000.0,-108.3321954820808,5891.66780451792
outpatient,noun,C2,3621475,6000.0,-108.39595399970881,5891.604046000291
redundant,adjective,C2,3566311,6000.0,-109.46173862203898,5890.538261377961
beneficiary,noun,C2,3534626,6000.0,-110.08138119079672,5889.9186188092035
scholarly,adjective,C2,3479874,6000.0,-111.16533905361882,5888.8346609463815
procedural,noun,C2,3467397,6000.0,-111.41473920528802,5888.585260794712
procedural,adjective,C2,3467397,6000.0,-111.41473920528802,5888.585260794712
secular,adjective,C2,3463905,6000.0,-111.48470080987266,5888.515299190128
abundant,adjective,C2,3441495,6000.0,-111.93536686980411,5888.064633130196
pedestrian,adjective,C2,3434750,6000.0,-112.07158379179845,5887.928416208201
denote,verb,C2,3369529,6000.0,-113.4027091381509,5886.597290861849
bout,noun,C2,3355216,6000.0,-113.69827605261054,5886.301723947389
profitability,noun,C2,3335983,6000.0,-114.09743382740464,5885.9025661725955
anthology,noun,C2,3316652,6000.0,-114.50095112676331,5885.4990488732365
notorious,adjective,C2,3291283,6000.0,-115.03408960905193,5884.965910390948
residue,noun,C2,3290600,6000.0,-115.04849983726416,5884.951500162736
contractual,adjective,C2,3272527,6000.0,-115.43090244888134,5884.569097551119
physiological,adjective,C2,3232417,6000.0,-116.28718070401521,5883.712819295984
swivel,verb,C2,3229287,6000.0,-116.35444701691421,5883.6455529830855
ally,verb,C2,3228428,6000.0,-116.3729190459926,5883.627080954007
rhetoric,noun,C2,3214428,6000.0,-116.67467135766776,5883.325328642332
apprentice,verb,C2,3177886,6000.0,-117.46852283172262,5882.531477168277
chronological,adjective,C2,3169265,6000.0,-117.65713920641326,5882.342860793587
homestead,noun,C2,3155033,6000.0,-117.96964253965706,5882.030357460343
ore,noun,C2,3138666,6000.0,-118.33077323508599,5881.669226764914
attainment,noun,C2,3138108,6000.0,-118.34311843194587,5881.656881568054
malicious,adjective,C2,3077492,6000.0,-119.69742909002179,5880.302570909978
dwarf,verb,C2,3072068,6000.0,-119.81991215958715,5880.180087840413
archival,adjective,C2,3028510,6000.0,-120.81143937212221,5879.188560627877
seismic,adjective,C2,3028135,6000.0,-120.82003741211304,5879.179962587887
prone,adjective,C2,3001079,6000.0,-121.44320680973681,5878.556793190263
plum,adjective,C2,2961363,6000.0,-122.36822030595619,5877.631779694044
facsimile,noun,C2,2956598,6000.0,-122.48003302571715,5877.519966974283
legion,noun,C2,2920122,6000.0,-123.3419751319422,5876.6580248680575
induce,verb,C2,2891148,6000.0,-124.03435002655914,5875.965649973441
genomic,adjective,C2,2882963,6000.0,-124.2311994548017,5875.768800545198
avian,adjective,C2,2877167,6000.0,-124.37093167182553,5875.629068328174
subsidy,noun,C2,2830929,6000.0,-125.49584116755898,5874.504158832441
strait,noun,C2,2820437,6000.0,-125.75365466940417,5874.246345330595
overlay,verb,C2,2783154,6000.0,-126.67761035399622,5873.322389646004
intrinsic,adjective,C2,2763192,6000.0,-127.1774138379289,5872.822586162071
hitch,verb,C2,2730000,6000.0,-128.01651484028878,5871.983485159712
emulation,noun,C2,2703342,6000.0,-128.6978555170249,5871.302144482976
constrained,adjective,C2,2683009,6000.0,-129.2220702038593,5870.777929796141
kinetic,adjective,C2,2676623,6000.0,-129.38753075238276,5870.612469247617
verbatim,adjective,C2,2673628,6000.0,-129.46526690219423,5870.534733097806
verbatim,adverb,C2,2673628,6000.0,-129.46526690219423,5870.534733097806
corpse,noun,C2,2662009,6000.0,-129.7676680770677,5870.232331922933
adhere,verb,C2,2655276,6000.0,-129.94350870235934,5870.056491297641
authenticity,noun,C2,2562043,6000.0,-132.42532032254047,5867.574679677459
converse,noun,C2,2554939,6000.0,-132.618112609008,5867.381887390992
converse,adjective,C2,2554939,6000.0,-132.618112609008,5867.381887390992
incumbent,noun,C2,2541291,6000.0,-132.99000846874014,5867.00999153126
incumbent,adjective,C2,2541291,6000.0,-132.99000846874014,5867.00999153126
blitz,noun,C2,2476009,6000.0,-134.79696707081598,5865.203032929184
blitz,verb,C2,2476009,6000.0,-134.79696707081598,5865.203032929184
grievance,noun,C2,2461503,6000.0,-135.20494913408362,5864.795050865916
adversely,adverb,C2,2446151,6000.0,-135.6393520715502,5864.36064792845
deliberate,verb,C2,2422264,6000.0,-136.3207139228727,5863.6792860771275
redundancy,noun,C2,2299058,6000.0,-139.9453729628563,5860.054627037143
automate,verb,C2,2296259,6000.0,-140.0299568788393,5859.97004312116
angular,adjective,C2,2282356,6000.0,-140.45163012014632,5859.548369879853
eminent,adjective,C2,2273923,6000.0,-140.70865348079582,5859.291346519204
vortex,noun,C2,2244809,6000.0,-141.60338268692033,5858.396617313079
retrospective,adjective,C2,2239656,6000.0,-141.76295223175674,5858.237047768243
embodiment,noun,C2,2165658,6000.0,-144.09578858813535,5855.904211411865
chronology,noun,C2,2161984,6000.0,-144.2136816482685,5855.786318351731
acreage,noun,C2,2136630,6000.0,-145.03275610960225,5854.967243890398
tenacious,adjective,C2,2122528,6000.0,-145.4925454066938,5854.507454593306
nostalgia,noun,C2,2115900,6000.0,-145.70970466776112,5854.290295332239
utter,verb,C2,2096533,6000.0,-146.34816323309724,5853.651836766903
utter,adjective,C2,2096533,6000.0,-146.34816323309724,5853.651836766903
slab,noun,C2,2091074,6000.0,-146.52919205897769,5853.470807941022
additive,adjective,C2,2081681,6000.0,-146.84178738574923,5853.158212614251
additive,noun,C2,2081681,6000.0,-146.84178738574923,5853.158212614251
deficient,adjective,C2,2078834,6000.0,-146.93681301502664,5853.063186984973
meteorological,adjective,C2,2070017,6000.0,-147.23192983873145,5852.768070161269
electrode,noun,C2,2054669,6000.0,-147.74865928844298,5852.251340711557
baroque,adjective,C2,2050077,6000.0,-147.90401101478074,5852.095988985219
posture,verb,C2,2045913,6000.0,-148.04518422621112,5851.954815773789
posture,verb,C2,2045913,6000.0,-148.04518422621112,5851.954815773789
stringent,adjective,C2,2014881,6000.0,-149.10640947325209,5850.893590526748
diligence,noun,C2,2012672,6000.0,-149.1825743610613,5850.817425638938
pedestal,noun,C2,2006553,6000.0,-149.39399081349683,5850.606009186503
predecessor,noun,C2,1976404,6000.0,-150.44516793555846,5849.554832064441
philanthropy,noun,C2,1975441,6000.0,-150.47900765119516,5849.520992348805
helm,noun,C2,1960083,6000.0,-151.0209269459387,5848.979073054062
opaque,adjective,C2,1949046,6000.0,-151.41300497446178,5848.586995025538
adhesion,noun,C2,1920249,6000.0,-152.4465365144365,5847.553463485563
epoxy,noun,C2,1908076,6000.0,-152.88809740204857,5847.1119025979515
bogus,adjective,C2,1903710,6000.0,-153.04715547705155,5846.952844522948
indulgence,noun,C2,1897385,6000.0,-153.27823024105396,5846.721769758946
sulphur,noun,C2,1852248,6000.0,-154.94995670700575,5845.050043292994
myriad,adjective,C2,1848958,6000.0,-155.07339589786017,5844.92660410214
conduit,noun,C2,1845238,6000.0,-155.21323333774768,5844.786766662252
agility,noun,C2,1810572,6000.0,-156.5300746562939,5843.469925343707
agile,adjective,C2,1808955,6000.0,-156.59211276359935,5843.407887236401
jargon,noun,C2,1804602,6000.0,-156.75939671526072,5843.240603284739
apostle,noun,C2,1790768,6000.0,-157.2937231194362,5842.706276880564
articulate,adjective,C2,1767860,6000.0,-158.1876683123653,5841.8123316876345
ironic,adjective,C2,1759846,6000.0,-158.5031382739499,5841.49686172605
catastrophic,adjective,C2,1750033,6000.0,-158.8913879455639,5841.108612054436
maverick,noun,C2,1738027,6000.0,-159.36937531276527,5840.630624687235
pervasive,adjective,C2,1736906,6000.0,-159.4141734033626,5840.585826596637
deprivation,noun,C2,1731701,6000.0,-159.62255831736275,5840.377441682637
menace,noun,C2,1722950,6000.0,-159.97432503318043,5840.02567496682
temper,verb,C2,1717493,6000.0,-160.1945873801298,5839.80541261987
mariner,noun,C2,1714677,6000.0,-160.30852424589187,5839.691475754108
splinter,verb,C2,1710719,6000.0,-160.46898377314983,5839.531016226851
meteorology,noun,C2,1707620,6000.0,-160.59487830776408,5839.405121692236
zoology,noun,C2,1672374,6000.0,-162.04301634637852,5837.956983653621
diffuse,adjective,C2,1665383,6000.0,-162.33387737340894,5837.6661226265915
diffuse,verb,C2,1665383,6000.0,-162.33387737340894,5837.6661226265915
tactic,noun,C2,1649523,6000.0,-162.99828650164704,5837.001713498353
contextual,adjective,C2,1648180,6000.0,-163.0548406945411,5836.945159305459
solitary,adjective,C2,1632552,6000.0,-163.71635043635456,5836.283649563646
solitary,noun,C2,1632552,6000.0,-163.71635043635456,5836.283649563646
adept,noun,C2,1595303,6000.0,-165.31893218118063,5834.681067818819
adept,adjective,C2,1595303,6000.0,-165.31893218118063,5834.681067818819
imposition,noun,C2,1588551,6000.0,-165.61342875853938,5834.386571241461
artifact,noun,C2,1586626,6000.0,-165.6976192720561,5834.302380727944
disseminate,verb,C2,1585078,6000.0,-165.76539569627306,5834.234604303727
curator,noun,C2,1580529,6000.0,-165.96494928829674,5834.035050711704
graft,noun,C2,1576259,6000.0,-166.15278710615536,5833.847212893845
encompass,verb,C2,1567719,6000.0,-166.5299941133855,5833.470005886615
hover,verb,C2,1553261,6000.0,-167.17330463269093,5832.826695367309
subsistence,noun,C2,1552081,6000.0,-167.2260729083186,5832.773927091682
topography,noun,C2,1551402,6000.0,-167.25645521350646,5832.743544786494
indulge,verb,C2,1550268,6000.0,-167.30722645648183,5832.692773543518
moor,noun,C2,1542580,6000.0,-167.65241470614745,5832.347585293853
gravitational,adjective,C2,1516658,6000.0,-168.82911522964451,5831.170884770356
methodological,adjective,C2,1502334,6000.0,-169.4879946160711,5830.512005383929
axiom,noun,C2,1495473,6000.0,-169.80581724793996,5830.19418275206
brink,noun,C2,1484879,6000.0,-170.2994392952533,5829.700560704747
anonymity,noun,C2,1482647,6000.0,-170.40388727661303,5829.596112723387
testimonial,noun,C2,1481582,6000.0,-170.45378011208203,5829.546219887918
punitive,adjective,C2,1450376,6000.0,-171.9318571521465,5828.068142847854
etching,noun,C2,1441884,6000.0,-172.33958860397632,5827.660411396024
palate,noun,C2,1435844,6000.0,-172.63105476805413,5827.368945231946
solicit,verb,C2,1420983,6000.0,-173.35343910571908,5826.646560894281
diminish,verb,C2,1415066,6000.0,-173.64316597979632,5826.356834020204
locomotive,noun,C2,1409043,6000.0,-173.93933005562553,5826.060669944374
vocalist,noun,C2,1383147,6000.0,-175.22728444321183,5824.772715556788
solitude,noun,C2,1379342,6000.0,-175.41855789256033,5824.581442107439
intermediary,noun,C2,1372814,6000.0,-175.74794623470757,5824.252053765293
colloquium,noun,C2,1349618,6000.0,-176.93116998997613,5823.068830010024
elasticity,noun,C2,1323328,6000.0,-178.2970568197839,5821.702943180216
barometer,noun,C2,1320357,6000.0,-178.4531174797545,5821.546882520245
articulation,noun,C2,1302431,6000.0,-179.4022509270709,5820.597749072929
formidable,adjective,C2,1298736,6000.0,-179.59951446168793,5820.400485538312
daunting,adjective,C2,1295706,6000.0,-179.76169516189378,5820.238304838106
reissue,verb,C2,1287311,6000.0,-180.21302627852856,5819.786973721471
conjecture,noun,C2,1283018,6000.0,-180.44496480170176,5819.555035198298
conjecture,verb,C2,1283018,6000.0,-180.44496480170176,5819.555035198298
forfeiture,noun,C2,1274559,6000.0,-180.90426031428927,5819.095739685711
recourse,noun,C2,1273523,6000.0,-180.96072107053158,5819.039278929468
hinder,verb,C2,1272772,6000.0,-181.00167839171172,5818.998321608288
plume,noun,C2,1269109,6000.0,-181.20179462321687,5818.798205376783
interrogation,noun,C2,1264580,6000.0,-181.4500220634314,5818.549977936568
reconcile,verb,C2,1256296,6000.0,-181.9063641054084,5818.093635894592
advantageous,adjective,C2,1238029,6000.0,-182.9233671778195,5817.076632822181
perch,noun,C2,1235177,6000.0,-183.08350345714638,5816.916496542854
perch,verb,C2,1235177,6000.0,-183.08350345714638,5816.916496542854
perch,noun,C2,1235177,6000.0,-183.08350345714638,5816.916496542854
angst,noun,C2,1232364,6000.0,-183.24181254778767,5816.758187452212
embed,verb,C2,1217930,6000.0,-184.05985122793282,5815.940148772067
snippet,noun,C2,1215241,6000.0,-184.21331951961758,5815.7866804803825
consignment,noun,C2,1211676,6000.0,-184.41730780813378,5815.582692191866
hamper,verb,C2,1203919,6000.0,-184.86324271946478,5815.136757280536
allotment,noun,C2,1190325,6000.0,-185.6517102910144,5814.348289708985
instantaneous,adjective,C2,1181806,6000.0,-186.15042494292027,5813.84957505708
paralysis,noun,C2,1150763,6000.0,-187.99865121351104,5812.001348786489
assimilation,noun,C2,1145825,6000.0,-188.29723689330444,5811.702763106696
lyrical,adjective,C2,1145693,6000.0,-188.30523617461972,5811.6947638253805
coax,verb,C2,1132263,6000.0,-189.12395735322576,5810.876042646774
cocoon,verb,C2,1129091,6000.0,-189.31874670903704,5810.681253290963
condensation,noun,C2,1125621,6000.0,-189.5324637009826,5810.467536299017
nostalgic,adjective,C2,1122249,6000.0,-189.74077700723126,5810.259222992769
rift,noun,C2,1119873,6000.0,-189.88793629264092,5810.112063707359
remit,verb,C2,1111713,6000.0,-190.39572001820005,5809.6042799818
promenade,noun,C2,1111165,6000.0,-190.4299546176652,5809.570045382335
malice,noun,C2,1078607,6000.0,-192.4948171187628,5807.5051828812375
correlate,noun,C2,1071375,6000.0,-192.96193397884696,5807.038066021153
correlate,verb,C2,1071375,6000.0,-192.96193397884696,5807.038066021153
melancholy,noun,C2,1070281,6000.0,-193.03287018489755,5806.967129815102
melancholy,adjective,C2,1070281,6000.0,-193.03287018489755,5806.967129815102
rhetorical,adjective,C2,1059051,6000.0,-193.7652573310059,5806.234742668994
rapture,noun,C2,1051733,6000.0,-194.24670674578795,5805.753293254212
emulate,verb,C2,1048404,6000.0,-194.46683046598997,5805.53316953401
brood,noun,C2,1042305,6000.0,-194.8719345187434,5805.128065481256
brood,verb,C2,1042305,6000.0,-194.8719345187434,5805.128065481256
proximal,adjective,C2,1030071,6000.0,-195.69172954403996,5804.30827045596
opacity,noun,C2,1026698,6000.0,-195.91946545789034,5804.0805345421095
aptitude,noun,C2,1014706,6000.0,-196.7352359002531,5803.264764099747
midwifery,noun,C2,1013285,6000.0,-196.83253939466266,5803.1674606053375
parasitic,adjective,C2,1007800,6000.0,-197.2094110113901,5802.79058898861
depressive,adjective,C2,1003641,6000.0,-197.49654364373401,5802.503456356266
skim,verb,C2,1003327,6000.0,-197.5182701309879,5802.481729869012
cay,noun,C2,1002108,6000.0,-197.60268043809094,5802.397319561909
retrospect,noun,C2,1001979,6000.0,-197.61161911935505,5802.388380880645
collide,verb,C2,984371,6000.0,-198.84264148155148,5801.157358518449
mediate,verb,C2,979863,6000.0,-199.16134859515893,5800.838651404841
lark,noun,C2,972650,6000.0,-199.6743567693664,5800.325643230633
lark,noun,C2,972650,6000.0,-199.6743567693664,5800.325643230633
concurrence,noun,C2,952660,6000.0,-201.11623320937804,5798.883766790622
